event_date_dt,total_time_s,line_of_best_fit
2019-03-09,6433.0,6657.539540638353
2019-04-28,6796.0,6649.383208650721
2019-11-16,6689.0,6616.431627420685
2021-05-22,6261.0,6526.22259563747
2021-08-21,6555.0,6511.378071419978
2021-12-05,6760.0,6494.086647606197
2022-02-20,6505.0,6481.525896345243
2022-05-14,6368.0,6467.986385245774
2022-10-08,6163.0,6444.006769202134
2022-11-05,6724.0,6439.43922328906
2022-11-24,6580.0,6436.339817133759
2022-12-04,6966.0,6434.708550736233
2023-05-13,6205.0,6408.608288375809
2023-08-17,6090.0,6392.948130959555
2023-09-22,6168.0,6387.075571928459
2023-10-15,6481.0,6383.323659214148
2023-11-02,6368.0,6380.387379698601
2024-05-11,6158.0,6349.230191505844
2024-07-30,6267.0,6336.180060325632
2024-09-27,6558.0,6326.555588580226
2024-10-17,6336.0,6323.293055785173
2025-05-17,6089.0,6288.710208157611
2025-05-31,6245.0,6286.426435201074
2025-09-14,6569.0,6269.135011387293
2025-10-15,6221.0,6264.078085554961
